public_reference,mileage,standard_colour,standard_make,standard_model,vehicle_condition,year_of_registration,price,body_type,crossover_car_and_van,fuel_type
YLAF8LAB,169359,Grey,Chevrolet,Malibu,Used,2007,27304,Truck,True,Hybrid
RU28OOO7,222267,Black,Hyundai,Sonata,Certified Used,2005,26038,Coupe,True,Hybrid
FS44NU83,88686,Grey,Nissan,Altima,Used,2012,32100,Coupe,False,Diesel
RVBYXZPH,169154,Silver,Kia,Sportage,Certified Used,2010,31080,Hatchback,False,Diesel
HHEGVHEZ,5297,Green,Toyota,Camry,Used,2003,34527,Coupe,True,Hybrid
Q3JJEMBU,172762,Orange,Ford,Escape,Used,2001,24257,Sedan,True,Electric
A982YQFB,16195,Grey,Kia,Sorento,Used,2021,43118,Sedan,True,Diesel
JZSGGOLZ,91430,Blue,Nissan,Sentra,New,2005,44332,Truck,True,Electric
W64XPI43,182649,Blue,Volkswagen,Passat,Certified Used,2020,34516,SUV,True,Petrol
LFOWFY6T,126273,Grey,Nissan,Rogue,Used,2014,32299,Truck,False,Hybrid
ES6E9DGP,177788,Black,Audi,A4,Used,2007,23756,Sedan,False,Hybrid
EWQG2TN5,190007,Red,Nissan,Sentra,Used,2008,25567,Convertible,True,Electric
GQ9CT45D,117791,Red,Audi,Q5,Certified Used,2008,35446,Hatchback,True,Petrol
7AJ2L1EG,167923,Green,Chevrolet,Silverado,Used,2003,24337,Convertible,True,Electric
PAW7IC8Q,189746,Yellow,Chevrolet,Malibu,Used,2009,24098,SUV,False,Hybrid
7P6LDY3Q,130495,Red,Kia,Sportage,Used,2021,33814,Truck,True,Hybrid
2UWJJGA2,246465,Silver,Volkswagen,Tiguan,New,2006,28479,Coupe,False,Diesel
ZU4SA8P9,181439,Black,Kia,Optima,New,2005,32722,Truck,True,Electric
P9FFI51R,112696,Brown,Ford,Focus,Certified Used,2002,32248,Coupe,False,Diesel
506I2G21,49229,Brown,Nissan,Sentra,Used,2001,33711,Truck,False,Electric
V0HS72IK,42107,Yellow,Ford,Focus,Certified Used,2018,45537,Hatchback,True,Hybrid
CUOOYP73,29864,Black,Chevrolet,Silverado,New,2006,49297,Coupe,True,Petrol
ZX302K8D,51730,Black,Kia,Sportage,New,2009,49730,Truck,True,Diesel
V0GRAKQT,74931,Brown,Toyota,Corolla,Used,2015,34041,Hatchback,True,Petrol
KSCOPSXG,244663,White,Toyota,Camry,Certified Used,2021,30027,Hatchback,False,Petrol
3NZZ9A92,230090,Orange,Kia,Optima,New,2014,32595,Truck,True,Petrol
BKR7YIH1,131013,Blue,Ford,Focus,Used,2020,33860,Convertible,False,Petrol
